OBJECTID,FIPS,County,Tract_Name,Population_Total,Education_Population_AgeOver24,Education_Population_AgeOver24_LessThan9th,Percent_Education_Population_AgeOver24_LessThan9th,Education_Population_AgeOver24_No_High_School_Diploma,Percent_Education_Population_AgeOver24_No_High_School_Diploma,Education_Population_AgeOver24_High_School_Graduate,Percent_Education_Population_AgeOver24_High_School_Graduate,Education_Population_AgeOver24_Some_College_NoDegree,Percent_Education_Population_AgeOver24_Some_College_NoDegree,Education_Population_AgeOver24_Associates_Degree,Percent_Education_Population_AgeOver24_Associates_Degree,Education_Population_AgeOver24_Bachelors_Degree,Percent_Education_Population_AgeOver24_Bachelors_Degree,Education_Population_AgeOver24_Graduate_Degree_Higher,Percent_Education_Population_AgeOver24_Graduate_Degree_Higher,Education_Population_AgeOver24_HSD_Higher,Percent_Education_Population_AgeOver24_HSD_Higher,Education_Population_AgeOver24_Bachelors_Higher,Percent_Education_Population_AgeOver24_Bachelors_Higher,Education_Population_AgeOver24_LessThan9th_Or_No_High_School_Dip,Percent_Education_Population_AgeOver24_LessThan9th_Or_No_High_Sc
1,08043979000,FREMONT,"Census Tract 9790, Fremont County, Colorado",3456,2852,115,4,115,4,820,28.8,774,27.1,301,10.6,409,14.3,318,11.2,2622,91.9,727,25.5,230,8
2,08045951600,GARFIELD,"Census Tract 9516, Garfield County, Colorado",3806,2544,105,4.1,61,2.4,504,19.8,482,18.9,224,8.8,827,32.5,341,13.4,2378,93.5,1168,45.9,166,6.5
3,08069002803,LARIMER,"Census Tract 28.03, Larimer County, Colorado",53,45,0,0,0,0,0,0,23,51.1,0,0,22,48.9,0,0,45,100,22,48.9,0,0
4,08125963200,YUMA,"Census Tract 9632, Yuma County, Colorado",5581,3666,232,6.3,139,3.8,1491,40.7,838,22.9,302,8.2,454,12.4,210,5.7,3295,89.9,664,18.1,371,10.1
5,08069002401,LARIMER,"Census Tract 24.01, Larimer County, Colorado",1352,1280,0,0,21,1.6,271,21.2,355,27.7,108,8.4,340,26.6,185,14.5,1259,98.4,525,41,21,1.6
6,08069002402,LARIMER,"Census Tract 24.02, Larimer County, Colorado",2700,2240,9,0.4,33,1.5,309,13.8,544,24.3,185,8.3,735,32.8,425,19,2198,98.1,1160,51.8,42,1.9
7,08103951200,RIO BLANCO,"Census Tract 9512, Rio Blanco County, Colorado",2688,1790,8,0.4,122,6.8,427,23.9,586,32.7,189,10.6,307,17.2,151,8.4,1660,92.7,458,25.6,130,7.2
8,08103951100,RIO BLANCO,"Census Tract 9511, Rio Blanco County, Colorado",3696,2423,66,2.7,146,6,901,37.2,566,23.4,244,10.1,388,16,112,4.6,2211,91.3,500,20.6,212,8.7
9,08049000201,GRAND,"Census Tract 2.01, Grand County, Colorado",5225,4331,41,0.9,139,3.2,889,20.5,1126,26,433,10,1188,27.4,515,11.9,4151,95.8,1703,39.3,180,4.1
10,08049000202,GRAND,"Census Tract 2.02, Grand County, Colorado",6646,4835,75,1.6,200,4.1,1226,25.4,831,17.2,297,6.1,1603,33.2,603,12.5,4560,94.3,2206,45.6,275,5.7
11,08049000100,GRAND,"Census Tract 1, Grand County, Colorado",3432,2415,80,3.3,94,3.9,985,40.8,603,25,166,6.9,320,13.3,167,6.9,2241,92.8,487,20.2,174,7.2
12,08081000600,MOFFAT,"Census Tract 6, Moffat County, Colorado",1274,835,38,4.6,73,8.7,307,36.8,243,29.1,61,7.3,87,10.4,26,3.1,724,86.7,113,13.5,111,13.3
13,08081000500,MOFFAT,"Census Tract 5, Moffat County, Colorado",4558,3090,40,1.3,219,7.1,1165,37.7,761,24.6,274,8.9,375,12.1,256,8.3,2831,91.6,631,20.4,259,8.4
14,08081000400,MOFFAT,"Census Tract 4, Moffat County, Colorado",4602,3120,140,4.5,425,13.6,1244,39.9,651,20.9,234,7.5,301,9.6,125,4,2555,81.9,426,13.7,565,18.1
15,08081000300,MOFFAT,"Census Tract 3, Moffat County, Colorado",2693,1848,24,1.3,45,2.4,731,39.6,454,24.6,201,10.9,226,12.2,167,9,1779,96.3,393,21.3,69,3.7
16,08057955600,JACKSON,"Census Tract 9556, Jackson County, Colorado",1261,974,46,4.7,77,7.9,274,28.1,315,32.3,67,6.9,168,17.2,27,2.8,851,87.4,195,20,123,12.6
