OBJECTID,FIPS,County,Tract_Name,Population_Total,Percent_Poverty_AllPeople_Income_Below_Pov_Level,Poverty_Per_Capita_Income,Housing_Poverty_Median_Household_Income,Housing_Poverty_Mean_Household_Income
1,08043979000,FREMONT,"Census Tract 9790, Fremont County, Colorado",3456,13.9,34452,44293,74535
2,08045951600,GARFIELD,"Census Tract 9516, Garfield County, Colorado",3806,17,35402,71957,90421
3,08069002803,LARIMER,"Census Tract 28.03, Larimer County, Colorado",53,37.7,42451,52333,67529
4,08125963200,YUMA,"Census Tract 9632, Yuma County, Colorado",5581,13.6,24963,50386,61418
5,08069002401,LARIMER,"Census Tract 24.01, Larimer County, Colorado",1352,4.7,48612,64962,89682
6,08069002402,LARIMER,"Census Tract 24.02, Larimer County, Colorado",2700,12.9,47063,75250,98851
7,08103951200,RIO BLANCO,"Census Tract 9512, Rio Blanco County, Colorado",2688,11.6,27239,62667,75180
8,08103951100,RIO BLANCO,"Census Tract 9511, Rio Blanco County, Colorado",3696,9.9,25939,51272,63795
9,08049000201,GRAND,"Census Tract 2.01, Grand County, Colorado",5225,4.1,44166,76736,92812
10,08049000202,GRAND,"Census Tract 2.02, Grand County, Colorado",6646,9.1,36731,61411,87758
11,08049000100,GRAND,"Census Tract 1, Grand County, Colorado",3432,18.4,30520,59152,72607
12,08081000600,MOFFAT,"Census Tract 6, Moffat County, Colorado",1274,23.5,25873,46648,65162
13,08081000500,MOFFAT,"Census Tract 5, Moffat County, Colorado",4558,10.6,25516,54028,62040
14,08081000400,MOFFAT,"Census Tract 4, Moffat County, Colorado",4602,23.7,28302,56321,68890
15,08081000300,MOFFAT,"Census Tract 3, Moffat County, Colorado",2693,13,38058,75359,89368
16,08057955600,JACKSON,"Census Tract 9556, Jackson County, Colorado",1261,9.6,28199,53300,64192
17,08121924100,WASHINGTON,"Census Tract 9241, Washington County, Colorado",2043,10.5,31395,53194,71863
18,08107000800,ROUTT,"Census Tract 8, Routt County, Colorado",2095,9.9,34301,72571,87367
19,08107000700,ROUTT,"Census Tract 7, Routt County, Colorado",4919,12.7,53115,74107,117599
20,08107000500,ROUTT,"Census Tract 5, Routt County, Colorado",4488,8.5,42121,85406,111757
21,08107000200,ROUTT,"Census Tract 2, Routt County, Colorado",2293,9.3,27714,63026,73049
22,08107000400,ROUTT,"Census Tract 4, Routt County, Colorado",3949,12.4,42604,87946,118024
23,08107000600,ROUTT,"Census Tract 6, Routt County, Colorado",3017,8.7,50434,103594,121860
24,08107000300,ROUTT,"Census Tract 3, Routt County, Colorado",2323,6.8,42719,68750,87652
25,08107000100,ROUTT,"Census Tract 1, Routt County, Colorado",1988,19.9,46287,75226,106111
26,08051963900,GUNNISON,"Census Tract 9639, Gunnison County, Colorado",1033,10.7,33241,59779,71666
27,08051963700,GUNNISON,"Census Tract 9637, Gunnison County, Colorado",6622,22.7,24039,42148,55941
28,08051963600,GUNNISON,"Census Tract 9636, Gunnison County, Colorado",4437,7.6,36718,65446,86541
29,08051963800,GUNNISON,"Census Tract 9638, Gunnison County, Colorado",4710,7.8,39157,82813,99724
30,08021974900,CONEJOS,"Census Tract 9749, Conejos County, Colorado",4366,18.4,21797,42880,54295
31,08021974800,CONEJOS,"Census Tract 9748, Conejos County, Colorado",3762,25.6,19297,32527,45405
32,08037000703,EAGLE,"Census Tract 7.03, Eagle County, Colorado",2701,9.6,69336,78472,135613
33,08037000301,EAGLE,"Census Tract 3.01, Eagle County, Colorado",6964,8.1,49784,101406,135620
34,08037000702,EAGLE,"Census Tract 7.02, Eagle County, Colorado",1453,10.2,77563,99259,158686
35,08037000402,EAGLE,"Census Tract 4.02, Eagle County, Colorado",4800,5.2,50055,111833,157588
36,08037000501,EAGLE,"Census Tract 5.01, Eagle County, Colorado",462,10.6,100245,74444,191340
37,08037000502,EAGLE,"Census Tract 5.02, Eagle County, Colorado",4224,6.7,35425,95827,108103
38,08037000302,EAGLE,"Census Tract 3.02, Eagle County, Colorado",2253,17.3,48747,75429,102521
39,08037000403,EAGLE,"Census Tract 4.03, Eagle County, Colorado",8857,6.7,40456,102695,121694
40,08037000701,EAGLE,"Census Tract 7.01, Eagle County, Colorado",1693,5.9,48968,104063,138729
41,08037000401,EAGLE,"Census Tract 4.01, Eagle County, Colorado",4387,11.1,31231,63944,82024
42,08037000503,EAGLE,"Census Tract 5.03, Eagle County, Colorado",6539,12.8,46534,76303,118373
43,08037000100,EAGLE,"Census Tract 1, Eagle County, Colorado",1463,2.7,28370,90116,81065
44,08037000600,EAGLE,"Census Tract 6, Eagle County, Colorado",1446,1.8,42430,86694,95303
45,08037000200,EAGLE,"Census Tract 2, Eagle County, Colorado",7439,4.8,33508,79157,91702
46,08045951901,GARFIELD,"Census Tract 9519.01, Garfield County, Colorado",4936,8.2,29421,62708,81580
47,08045951701,GARFIELD,"Census Tract 9517.01, Garfield County, Colorado",4162,4.8,37567,80144,99133
48,08045951902,GARFIELD,"Census Tract 9519.02, Garfield County, Colorado",7182,5.2,34733,90672,99936
