coded_v1
,equal,reqeduc,reqcomp,reqorg,call,gender,ethnicity,
1,1,0,1,0,0,0,1,
2,1,0,1,0,0,0,1,
3,1,0,1,0,0,0,0,
4,1,0,1,0,0,0,0,
5,1,0,1,1,0,0,1,
6,1,0,0,0,0,1,1,
7,1,0,0,0,0,0,1,
8,1,0,1,1,0,0,0,
9,1,0,0,0,0,0,0,
10,1,0,0,0,0,1,0,
11,1,0,1,0,0,0,0,
12,1,0,1,0,0,0,1,
13,1,0,1,1,0,0,0,
14,1,0,1,1,0,0,1,
15,1,0,0,0,0,0,0,
16,1,0,0,0,0,1,1,
17,1,0,0,0,0,1,1,
18,1,0,0,0,0,0,0,
19,0,0,0,0,0,0,1,
20,0,0,0,0,0,0,0,
21,0,0,0,0,0,1,0,
22,0,0,0,0,0,1,1,
23,0,1,0,0,0,0,1,
24,0,1,1,0,0,0,1,
25,0,1,0,0,0,1,1,
26,0,1,1,0,0,0,0,
27,0,1,0,0,0,0,0,
28,0,1,1,0,0,0,1,
29,0,1,1,0,0,0,0,
30,0,1,0,0,0,0,0,
31,0,0,1,0,0,0,1,
32,0,0,1,0,0,0,0,
33,0,0,1,0,0,0,1,
34,0,0,1,0,0,0,0,
35,0,0,0,0,0,1,1,
36,1,0,1,0,0,0,1,
37,1,0,1,0,0,0,0,
38,0,0,0,0,0,0,0,
39,1,0,1,0,0,0,0,
40,0,0,0,0,0,0,1,
41,1,0,1,0,0,0,1,
42,0,0,0,0,0,1,0,
43,0,1,0,0,0,0,1,
44,0,1,0,0,0,0,1,
45,0,1,0,0,0,0,0,
46,0,1,0,0,0,0,0,
47,0,0,0,0,0,1,1,
48,0,0,0,0,0,0,0,
49,0,0,0,0,0,0,1,
50,0,0,0,0,0,0,0,
51,0,0,0,0,0,0,0,
52,0,0,0,0,0,0,1,
53,0,0,0,0,0,0,1,
54,0,0,0,0,0,0,0,
55,0,0,0,0,0,1,1,
56,0,0,0,0,0,0,0,
57,0,0,0,0,0,0,1,
58,0,0,0,0,0,1,0,
59,1,1,1,0,0,0,1,
60,1,1,1,0,0,0,0,
61,1,1,1,0,0,0,0,
62,1,1,1,0,0,0,1,
63,0,0,0,0,0,0,1,
64,1,0,0,0,0,0,1,
65,0,0,0,0,0,0,0,
66,1,0,0,0,0,0,0,
67,1,0,0,0,0,0,0,
68,1,0,0,0,0,0,1,
69,0,0,1,1,0,0,0,
70,0,0,1,1,0,0,1,
71,1,0,0,0,0,1,1,
72,1,0,0,0,0,1,0,
73,0,0,1,1,0,0,0,
74,1,0,0,0,0,0,1,
75,0,0,1,1,0,0,1,
76,1,0,0,0,0,1,0,
77,1,0,1,0,0,0,1,
78,1,0,1,0,0,0,0,
79,1,0,1,0,0,0,0,
80,1,0,1,0,0,0,1,
81,0,1,1,0,0,1,0,
82,0,1,1,0,0,1,1,
